,0
0,5709.29301
1,5878.570704
2,5701.308214
3,5284.080878
4,5590.010161
5,4522.27935
6,4746.21528
7,3957.301853
8,2938.625929
9,2695.733163
10,2893.092812
11,2912.601468
12,2967.822174
13,4011.272026
14,2681.421918
15,2984.094626
16,2705.627995
17,2935.972597
18,3185.418626
19,3100.119708
20,3147.915104
21,2824.911694
22,2665.238954
23,1141.440924
24,988.616239
25,1017.363815
26,771.3798907
27,1217.875343
28,582.2272562
29,818.8460725
30,1049.99654
31,2896.523045
32,3092.109443
33,3194.680036
34,3313.838669
35,3244.213474
36,3173.589154
37,2931.633034
38,2719.124614
39,1038.709759
40,922.9550971
41,868.0468517
42,466.4482539
43,390.8692463
44,152.5761293
45,-124.5780901
46,-250.5822755
47,1270.999128
48,1386.835927
49,1601.766437
50,1653.328886
51,1594.760074
52,1591.792181
53,1486.847133
54,1460.434444
55,3198.492017
56,3005.377154
57,2943.250877
58,3003.615483
59,2821.801744
60,2409.608083
61,2649.668967
62,2203.964656
63,371.6469371
64,443.0649096
65,571.1215149
66,538.2541335
67,518.6302562
68,532.5303838
69,521.6054466
70,531.7767248
71,765.3127468
72,754.5795408
73,740.4418119
74,495.3522555
75,632.7428024
76,504.7800046
77,754.0183041
78,739.8677536
79,19.94253293
80,20.82134837
81,22.81600076
82,23.95478426
83,23.98580395
84,23.70901331
85,22.58101264
86,20.99774275
87,802.6174526
88,737.0801618
89,618.1366217
90,592.6322065
91,530.7371473
92,313.1005915
93,221.5664452
94,129.1636226
95,-57.64078877
96,-61.34143364
97,-96.3754283
98,-76.30316544
99,-64.27692261
100,-58.94897727
101,-72.36264043
102,-54.97105605
103,4554.005102
104,4729.909389
105,5848.395138
106,5099.409776
107,5347.726631
108,5076.679432
109,4508.764961
110,4708.678905
111,895.9429044
112,946.4161541
113,1005.817118
114,1047.119527
115,1129.023307
116,1189.487426
117,1134.778382
118,1194.594468
119,4512.54207
120,5041.386656
121,4589.011849
122,5377.725707
123,5241.646658
124,5217.181924
125,5421.679185
126,4643.184631
127,962.2374208
128,820.9009493
129,746.6413793
130,874.5662607
131,775.7499049
132,769.1470147
133,894.348588
134,1031.33362
135,655.9625041
136,714.8865245
137,747.8415227
138,737.9776377
139,748.332104
140,804.8668754
141,685.7771418
142,603.912078
143,1215.748425
144,1606.971928
145,1648.973128
146,1838.64726
147,1936.1358
148,1883.197825
149,1657.250131
150,1744.822598
151,555.4569525
152,631.8684778
153,674.0064505
154,673.0722108
155,672.3936378
156,632.812428
157,591.9158364
158,508.1015117
159,4354.957166
160,4699.778075
161,4174.787356
162,4344.203649
163,4994.210899
164,5129.955641
165,4298.20255
166,4351.459436
167,537.0722575
168,805.7306907
169,1084.76928
170,877.287689
171,978.1196177
172,804.8351731
173,1043.153085
174,900.6363455
175,2705.717134
176,2360.883107
177,1971.734849
178,2559.942756
179,2267.478606
180,3522.444502
181,2453.371453
182,2749.087178
183,659.0161806
184,706.1608656
185,733.9251741
186,728.9050517
187,632.7642246
188,623.0445715
189,590.4656435
190,547.3749617
191,1260.561927
192,1548.477799
193,1672.889878
194,1654.644497
195,1843.094308
196,1738.592224
197,1569.95873
198,1606.060689
199,1976.83837
200,1837.197361
201,1787.718495
202,1768.22584
203,1504.040048
204,1292.182135
205,1307.666289
206,959.0721404
207,670.244235
208,766.3982604
209,773.9803442
210,819.9931979
211,814.08583
212,781.4722585
213,691.6878377
214,605.8544059
215,940.7490834
216,843.2566451
217,728.0003263
218,707.4864181
219,500.1071587
220,232.2586403
221,30.65488665
222,-87.45871208
223,5828.405528
224,5950.865642
225,5833.24065
226,5649.610353
227,4858.752317
228,4200.795219
229,4082.11032
230,1234.593656
231,1525.805882
232,1627.719832
233,1702.564543
234,1932.713375
235,1846.829184
236,1916.752254
237,1645.712473
238,4403.644744
239,4491.070643
240,4271.260444
241,4960.502705
242,4755.939944
243,4940.449277
244,4395.844132
245,4610.700967
246,1867.508543
247,1646.338577
248,1520.78509
249,1320.333932
250,1010.946784
251,1160.800381
252,1036.277054
253,615.4141151
254,997.817544
255,892.565123
256,801.9218219
257,564.4149425
258,617.3776779
259,569.8901351
260,228.3072743
261,110.9495451
262,675.712102
263,733.0839835
264,767.5005
265,770.35373
266,789.6578588
267,782.9074042
268,708.5163588
269,627.6809309
270,445.7973904
271,384.4870186
272,534.1456283
273,511.4988264
274,459.6586559
275,337.2380688
276,179.1476454
277,194.0433276
278,-213.714613
279,-180.5217221
280,-243.1387854
281,-194.4696603
282,-167.5338491
283,-75.51584159
284,-247.9758763
285,-259.1335045
286,977.837436
287,1235.141078
288,1455.927383
289,1334.937667
290,1361.786892
