,0
0,1.367082469
1,1.997269587
2,-0.009297904
3,0.16813489
4,0.34716242
5,2.248931249
6,0.276569202
7,0.04020178
8,0.126022409
9,0.062428449
10,0.080380586
11,0.125471623
12,0.166675358
13,0.132803562
14,0.160435636
15,0.158016618
16,0.202045778
17,0.002501253
18,0.293706548
19,-0.109281579
20,-0.161553168
21,-0.20203262
22,0.047660192
23,0.026554364
24,-0.064320745
25,0.568608236
26,0.332566388
27,0.011630976
28,0.322020334
29,0.231416115
30,0.211204995
31,0.109970628
32,-0.247437506
33,0.202673561
34,0.178187796
35,0.070575817
36,0.094598143
37,0.034669646
38,0.074049568
39,0.037916367
40,0.060793049
41,0.336799598
42,0.310980211
43,0.341286096
44,0.2284526
45,0.256631994
46,0.12976122
47,0.115235704
48,0.154204877
49,0.759659762
50,0.743428361
51,0.423152846
52,0.394205655
53,-0.038774985
54,0.098380747
55,0.026164773
56,-0.13706195
57,0.336360903
58,0.604487718
59,0.297355878
60,0.323178581
61,0.06304759
62,-0.285029928
63,-0.259657541
64,-0.251227457
65,-0.004152274
66,0.07560153
67,0.133900753
68,0.087220512
69,0.022540232
70,0.089766837
71,0.036871785
72,0.304803339
73,0.161843202
74,-0.019015009
75,-0.130314681
76,-0.049730016
77,-0.020123302
78,-0.130048569
79,-0.157969675
80,-0.008382968
81,0.497074433
82,0.38869337
83,0.453935512
84,0.450684238
85,0.439402752
86,0.395088999
87,0.43305343
88,0.059295841
89,0.723278302
90,0.765872377
91,0.15892745
92,0.533384391
93,0.334522736
94,0.315984485
95,0.028840285
96,0.336286984
97,1.311111561
98,1.383266365
99,1.253623055
100,1.265664903
101,1.547059168
102,1.549421789
103,1.717312689
104,1.303117537
105,0.035727456
106,0.059275838
107,0.186916621
108,-0.073315497
109,-0.044703002
110,-0.023281097
111,0.194767232
112,0.158810857
113,0.14143767
114,0.14036108
115,0.17558554
116,0.206753794
117,0.170267031
118,0.218708768
119,0.240116482
120,0.283279149
121,0.354435519
122,0.460641104
123,0.153416642
124,0.078889406
125,0.211629651
126,0.390515946
127,0.300071433
128,0.253591452
129,0.194658084
130,0.267694474
131,0.109568348
132,-0.028157603
133,-0.012331786
134,0.112651502
135,-0.138686824
136,-0.424284306
137,0.577782855
138,0.450946514
139,0.477944096
140,0.40115975
141,-0.073188425
142,0.026199422
143,0.066398655
144,-0.136901964
145,-0.109898838
146,0.189856451
147,0.029929806
148,-0.12456067
149,0.00451335
150,-0.198391166
151,-0.139336428
152,-0.116793827
153,0.320953216
154,0.32483849
155,0.357519663
156,0.297659354
157,0.628384883
158,0.550335252
159,0.298611037
160,0.196181327
161,1.997781133
162,1.829922399
163,1.840536778
164,1.874510322
165,1.85937237
166,1.882165052
167,1.867397708
168,1.877612754
169,0.379705004
170,0.476476761
171,0.560355834
172,0.42731213
173,0.437529149
174,0.393746699
175,0.457153444
176,0.366526748
177,0.146518094
178,0.289421228
179,0.160708682
180,0.073995886
181,0.081681057
182,-0.049131437
183,0.124579332
184,0.119731012
185,0.317414315
186,0.384568643
187,0.461558646
188,0.128567637
189,0.137262986
190,0.27606859
191,0.210925044
192,0.054201789
193,0.497795027
194,0.155383238
195,0.078262228
196,0.635584904
197,0.118093942
198,0.064613312
199,0.54534419
200,-0.216086802
201,0.24212306
202,0.132724576
203,0.671650133
204,-0.162854581
205,-0.179656998
206,-0.422094112
207,-0.440255908
208,0.580261949
209,0.70598726
210,0.192332206
211,0.16196534
212,0.252971818
213,0.091950817
214,0.007308968
215,0.220950274
216,0.174923626
217,0.058977942
218,-0.000261214
219,0.027964574
220,-0.168342598
221,-0.120067102
222,-0.002266836
223,-0.088219839
224,0.245004632
225,0.298140314
226,0.288940172
227,0.08595946
228,0.2642747
229,0.07192667
230,0.098078343
231,0.170020418
232,0.235697304
233,0.003805817
234,-0.066114648
235,-0.027664509
236,-0.056707264
237,0.073604429
238,0.425967725
239,0.430943918
240,0.424407274
241,0.344960975
242,0.214625045
243,0.446459789
244,0.136978521
245,0.660521265
246,0.541944495
247,0.704048192
248,0.426717883
249,0.638982896
250,0.631543166
251,0.517360693
252,0.190952592
253,0.350192001
254,0.169685408
255,-0.362513107
256,0.113489144
257,-0.192760281
258,-0.456267544
259,-0.346732499
260,1.313275378
261,1.246541004
262,1.692878312
263,1.206737264
264,2.021066388
265,1.370693041
266,0.117280169
267,0.023538215
268,-0.060015147
269,-0.026314781
270,0.198266422
271,0.220538457
272,0.000288413
273,0.091735792
274,0.504631237
275,0.568456352
276,0.67093845
277,0.47510203
278,0.350425251
279,0.153626081
280,0.153039697
281,0.205020662
282,0.011585362
283,-0.108073172
284,0.464253641
285,0.362428585
286,-0.117109901
287,-0.095487527
288,-0.08702861
289,0.139220243
290,2.160596713
291,2.278406238
292,0.688366717
293,0.362544772
294,0.460722248
295,0.478129819
296,0.670738657
297,1.392473657
298,0.540422564
299,0.712993909
300,0.794145359
301,0.785906217
302,0.743475609
303,0.850564097
304,0.575469369
305,0.753746203
306,0.572859642
307,1.564887832
308,1.346943978
309,1.277745681
310,0.690260614
311,2.147328295
312,1.91510403
313,1.506881224
314,1.000400255
315,1.002596857
316,1.2862401
317,0.488181283
318,0.531548702
319,0.718526988
320,0.838296131
321,0.194874586
322,0.528955764
323,0.526153813
324,0.39815339
325,0.404923181
326,0.276917297
327,0.54773159
328,0.382610066
329,0.478041938
330,1.108557343
331,1.087076947
332,0.720850614
333,0.996759914
334,0.629170021
335,1.08409046
336,0.416820704
337,0.417653448
338,0.374227817
339,0.552434789
340,0.655911826
341,0.566042991
342,0.573004346
343,0.246426478
344,0.550876324
345,0.562221536
346,1.20314623
347,0.829569337
348,0.882305756
349,-0.014214841
350,0.855350366
351,0.848496398
352,0.158431651
353,0.23339227
354,1.182397936
355,0.709546904
356,0.950979746
357,1.007171556
358,0.492966772
359,0.94766329
360,0.65700295
361,0.608202703
362,0.593761324
363,0.547236441
364,0.746957834
365,0.407841374
366,0.441616142
367,0.41498281
368,0.39753657
369,0.295635055
370,0.106167851
371,0.499447076
372,0.585089267
373,0.535374233
374,0.835503916
375,0.649539812
376,0.564523608
377,0.696908198
378,0.526694766
379,0.669534175
380,0.434400217
381,0.713966979
382,0.674924267
383,0.208779783
384,-0.028848035
385,0.493666006
386,0.360664067
387,0.451639417
388,0.420282967
